transaction_id,timestamp,customer_id,customer_segment,transaction_type,amount_ghs,currency,provider,channel,region,merchant_or_agent_id,recipient_id,device_id,status,failure_or_reversal_reason,balance_before_ghs,balance_after_ghs,customer_tenure_days,velocity_1h,device_changes_24h,failed_attempts_24h,risk_score
TXN000023,2026-08-06 15:49:00,CUST0099,Microbusiness,Bank Transfer,116.6,GHS,ApexMoney,USSD,Western,,RCP0248,DEV0316,SUCCESS,,440.82,324.22,1802,15,1,3,75.4
TXN000024,2026-08-29 17:30:00,CUST0046,Consumer,Cash-Out,127.95,GHS,MobiLink,USSD,Northern,MER007,RCP0014,DEV0246,SUCCESS,,491.07,363.12,1856,3,1,0,46.5
TXN000025,2026-08-25 05:29:00,CUST0182,Microbusiness,Cash-Out,363.24,GHS,SwiftCash,Mobile App,Central,MER061,RCP0217,DEV0139,FAILED,Limit Exceeded,579.98,579.98,654,1,2,1,56.9
TXN000026,2026-08-20 23:02:00,CUST0015,Consumer,P2P Transfer,55.61,GHS,MobiLink,Mobile App,Ashanti,,RCP0054,DEV0027,SUCCESS,,1132.72,1077.11,1297,5,1,2,82.8
TXN000027,2026-08-13 11:23:00,CUST0096,Microbusiness,Merchant Payment,75.55,GHS,ApexMoney,Mobile App,Central,MER034,RCP0141,DEV0302,SUCCESS,,604.23,528.68,147,4,1,0,62.9
TXN000028,2026-08-26 12:08:00,CUST0042,Consumer,Merchant Payment,28.07,GHS,ApexMoney,Web,Central,MER076,RCP0188,DEV0315,SUCCESS,,172.08,144.01,876,5,1,0,55.9
TXN000029,2026-08-17 21:47:00,CUST0007,Microbusiness,P2P Transfer,70.35,GHS,MobiLink,USSD,Greater Accra,,RCP0257,DEV0216,SUCCESS,,323.2,252.85,344,1,0,3,48.2
TXN000030,2026-08-14 17:54:00,CUST0276,Microbusiness,P2P Transfer,22.98,GHS,ApexMoney,Mobile App,Ashanti,,RCP0097,DEV0323,SUCCESS,,558.09,535.11,1230,4,2,0,55.4
TXN000031,2026-08-14 23:08:00,CUST0027,Consumer,Merchant Payment,153.8,GHS,KasaPay,POS,Western,MER047,RCP0240,DEV0351,SUCCESS,,1144.92,991.12,1214,4,2,2,82.4
TXN000032,2026-08-08 01:03:00,CUST0003,Consumer,P2P Transfer,116.4,GHS,KasaPay,Mobile App,Greater Accra,,RCP0118,DEV0231,SUCCESS,,1304.25,1187.85,1179,5,2,3,95.7
TXN000033,2026-08-03 20:32:00,CUST0280,Microbusiness,Cash-In,64.36,GHS,ApexMoney,Mobile App,Eastern,MER049,RCP0225,DEV0022,SUCCESS,,1865.0,1929.36,1494,2,0,2,56.7
TXN000034,2026-08-18 04:36:00,CUST0057,Consumer,Cash-Out,74.79,GHS,ApexMoney,Mobile App,Ashanti,MER075,RCP0027,DEV0392,REVERSED,Duplicate Transaction,543.46,543.46,2035,5,2,1,86.5
TXN000035,2026-08-28 12:35:00,CUST0245,Microbusiness,P2P Transfer,155.59,GHS,MobiLink,API,Ashanti,,RCP0070,DEV0211,SUCCESS,,873.48,717.89,444,4,0,0,53.1
TXN000036,2026-08-02 23:28:00,CUST0010,Consumer,Merchant Payment,31.02,GHS,MobiLink,POS,Greater Accra,MER016,RCP0162,DEV0303,SUCCESS,,165.53,134.51,483,2,0,2,46.4
TXN000037,2026-08-27 14:34:00,CUST0047,Microbusiness,Bank Transfer,96.89,GHS,MobiLink,USSD,Eastern,,RCP0183,DEV0410,FAILED,Network Timeout,680.22,680.22,485,2,0,1,33.9
TXN000038,2026-08-26 15:45:00,CUST0034,Consumer,Cash-Out,147.61,GHS,ApexMoney,Mobile App,Northern,MER059,RCP0209,DEV0164,SUCCESS,,219.98,72.37,2043,5,0,3,75.7
TXN000039,2026-08-09 13:54:00,CUST0212,Consumer,Bank Transfer,17.9,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0093,DEV0280,SUCCESS,,470.17,452.27,217,4,0,2,66.6
TXN000040,2026-08-20 13:57:00,CUST0187,Consumer,Merchant Payment,145.79,GHS,KasaPay,USSD,Ashanti,MER028,RCP0162,DEV0007,SUCCESS,,4780.87,4635.08,83,1,2,0,70.50856530740012
TXN000041,2026-08-06 02:55:00,CUST0143,Consumer,Bank Transfer,19.63,GHS,KasaPay,Mobile App,Greater Accra,,RCP0161,DEV0399,SUCCESS,,618.73,599.1,365,1,0,1,34.5
TXN000042,2026-08-24 12:01:00,CUST0073,Consumer,P2P Transfer,73.7,GHS,ApexMoney,Web,Greater Accra,,RCP0256,DEV0027,SUCCESS,,257.79,184.09,1695,5,2,2,90.8
TXN000043,2026-08-22 17:11:00,CUST0027,Microbusiness,Merchant Payment,30.3,GHS,SwiftCash,POS,Bono,MER031,RCP0031,DEV0244,SUCCESS,,669.04,638.74,1281,1,0,2,39.9
TXN000044,2026-08-11 23:46:00,CUST0171,Microbusiness,P2P Transfer,274.94,GHS,MobiLink,USSD,Ashanti,,RCP0005,DEV0159,FAILED,Limit Exceeded,334.35,334.35,2024,2,1,2,58.8
TXN000045,2026-08-03 02:31:00,CUST0070,SME,Merchant Payment,30.46,GHS,KasaPay,POS,Ashanti,MER026,RCP0149,DEV0017,SUCCESS,,239.71,209.25,461,4,1,0,69.2
TXN000046,2026-08-31 02:11:00,CUST0178,Microbusiness,Merchant Payment,20.03,GHS,KasaPay,API,Greater Accra,MER078,RCP0005,DEV0208,SUCCESS,,2385.95,2365.92,876,5,2,0,82.4
TXN000047,2026-08-14 19:35:00,CUST0207,Consumer,P2P Transfer,91.23,GHS,KasaPay,USSD,Bono,,RCP0051,DEV0422,SUCCESS,,1096.75,1005.52,1228,2,2,0,52.6
TXN000048,2026-08-28 16:28:00,CUST0255,Consumer,Cash-Out,57.3,GHS,ApexMoney,USSD,Greater Accra,MER059,RCP0130,DEV0076,FAILED,Validation Error,638.52,638.52,174,4,2,2,85.7
TXN000049,2026-08-22 00:22:00,CUST0149,SME,Merchant Payment,22.67,GHS,ApexMoney,Web,Central,MER072,RCP0070,DEV0132,SUCCESS,,367.28,344.61,2021,4,2,0,68.8
TXN000050,2026-08-25 03:07:00,CUST0002,Consumer,P2P Transfer,127.35,GHS,KasaPay,Mobile App,Greater Accra,,RCP0069,DEV0086,SUCCESS,,390.3,262.95,1773,4,0,3,77.0
TXN000051,2026-08-24 13:21:00,CUST0085,Consumer,P2P Transfer,14.99,GHS,KasaPay,Web,Greater Accra,,RCP0090,DEV0057,SUCCESS,,1566.91,1551.92,329,4,0,1,53.5
TXN000052,2026-08-07 00:48:00,CUST0257,Microbusiness,Merchant Payment,33.76,GHS,KasaPay,Mobile App,Central,MER030,RCP0178,DEV0104,SUCCESS,,620.13,586.37,1856,2,1,1,44.9
TXN000053,2026-08-12 06:44:00,CUST0099,SME,Merchant Payment,49.95,GHS,MobiLink,USSD,Greater Accra,MER068,RCP0095,DEV0258,FAILED,Limit Exceeded,48.81,48.81,995,15,0,0,75.9
TXN000054,2026-08-15 11:14:00,CUST0186,Consumer,Merchant Payment,161.08,GHS,ApexMoney,POS,Central,MER034,RCP0206,DEV0352,SUCCESS,,3028.14,2867.06,749,1,1,1,42.1
TXN000055,2026-08-16 10:21:00,CUST0138,Consumer,P2P Transfer,244.97,GHS,ApexMoney,USSD,Greater Accra,,RCP0042,DEV0311,SUCCESS,,565.27,320.3,2082,4,1,3,89.7
TXN000056,2026-08-02 08:35:00,CUST0049,Consumer,Cash-Out,207.96,GHS,ApexMoney,USSD,Central,MER060,RCP0027,DEV0348,SUCCESS,,637.48,429.52,1148,4,0,0,56.9
TXN000057,2026-08-17 22:38:00,CUST0270,Microbusiness,Bill Payment,71.5,GHS,ApexMoney,USSD,Central,,RCP0044,DEV0323,SUCCESS,,1113.23,1041.73,511,4,0,2,68.1
TXN000058,2026-08-05 18:47:00,CUST0232,Consumer,Merchant Payment,10.35,GHS,KasaPay,Mobile App,Central,MER075,RCP0238,DEV0173,SUCCESS,,698.58,688.23,1783,1,2,0,45.2
TXN000059,2026-08-24 01:04:00,CUST0299,Microbusiness,Cash-In,113.55,GHS,SwiftCash,Mobile App,Greater Accra,MER064,RCP0072,DEV0406,SUCCESS,,862.8,976.35,1578,5,1,0,84.2
TXN000060,2026-08-22 04:11:00,CUST0257,Consumer,Bank Transfer,284.29,GHS,MobiLink,Mobile App,Central,,RCP0008,DEV0078,SUCCESS,,358.6,74.31,434,3,2,2,78.2
TXN000061,2026-08-29 14:21:00,CUST0088,Consumer,Bill Payment,232.46,GHS,SwiftCash,USSD,Bono,,RCP0082,DEV0315,FAILED,Insufficient Funds,195.91,195.91,1495,1,1,2,44.5
TXN000062,2026-08-24 02:06:00,CUST0077,Consumer,Cash-In,120.72,GHS,KasaPay,USSD,Greater Accra,MER038,RCP0179,DEV0050,SUCCESS,,608.0,728.72,1389,3,1,2,65.3
TXN000063,2026-08-12 08:46:00,CUST0075,Consumer,Bank Transfer,29.63,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0094,DEV0345,SUCCESS,,1441.89,1412.26,616,3,2,0,68.3
TXN000064,2026-08-30 23:49:00,CUST0276,Microbusiness,Bank Transfer,52.12,GHS,KasaPay,Web,Western,,RCP0100,DEV0040,SUCCESS,,303.13,251.01,955,3,0,0,31.2
TXN000065,2026-08-13 17:40:00,CUST0168,Consumer,Bank Transfer,421.47,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0023,DEV0098,FAILED,Insufficient Funds,285.43,285.43,1848,4,0,1,51.5
TXN000066,2026-08-11 02:24:00,CUST0137,Microbusiness,Merchant Payment,24.43,GHS,MobiLink,USSD,Eastern,MER032,RCP0173,DEV0177,FAILED,Service Unavailable,1231.22,1231.22,396,3,2,0,65.6
TXN000067,2026-08-29 01:43:00,CUST0291,Consumer,P2P Transfer,7168.7,GHS,KasaPay,USSD,Central,,RCP0058,DEV0313,FAILED,Validation Error,349.7,349.7,1593,2,2,3,87.46346487578694
TXN000068,2026-08-12 11:37:00,CUST0182,SME,P2P Transfer,181.48,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0026,DEV0021,FAILED,Invalid PIN,362.16,362.16,1831,4,0,1,55.3
TXN000069,2026-08-03 08:47:00,CUST0273,Microbusiness,Merchant Payment,56.46,GHS,ApexMoney,POS,Ashanti,MER047,RCP0186,DEV0116,SUCCESS,,372.46,316.0,2061,2,1,2,65.4
TXN000070,2026-08-15 13:20:00,CUST0296,Consumer,Merchant Payment,29.83,GHS,ApexMoney,USSD,Eastern,MER009,RCP0243,DEV0151,SUCCESS,,469.31,439.48,724,1,1,0,28.7
TXN000071,2026-08-25 15:59:00,CUST0024,SME,Merchant Payment,298.5,GHS,MobiLink,Mobile App,Greater Accra,MER051,RCP0159,DEV0329,FAILED,Invalid PIN,151.38,151.38,597,2,2,2,60.2
TXN000072,2026-08-06 20:58:00,CUST0109,Consumer,Cash-In,120.53,GHS,ApexMoney,API,Northern,MER014,RCP0243,DEV0433,SUCCESS,,328.81,449.34,2056,5,1,0,56.7
TXN000073,2026-08-15 08:25:00,CUST0221,Consumer,Cash-In,58.88,GHS,ApexMoney,Web,Greater Accra,MER012,RCP0105,DEV0277,SUCCESS,,585.68,644.56,1026,3,0,1,51.5
TXN000074,2026-08-05 00:39:00,CUST0244,SME,Bank Transfer,30.76,GHS,ApexMoney,POS,Ashanti,,RCP0135,DEV0229,SUCCESS,,582.56,551.8,1258,2,2,1,61.6
TXN000075,2026-08-22 06:44:00,CUST0045,SME,P2P Transfer,464.19,GHS,SwiftCash,Web,Western,,RCP0093,DEV0152,SUCCESS,,1174.38,710.19,1135,2,2,0,46.8
TXN000076,2026-08-15 17:55:00,CUST0096,Microbusiness,P2P Transfer,79.78,GHS,KasaPay,Web,Greater Accra,,RCP0132,DEV0371,SUCCESS,,1957.74,1877.96,1139,5,1,0,58.0
TXN000077,2026-08-11 05:39:00,CUST0099,SME,Bank Transfer,267.13,GHS,SwiftCash,Mobile App,Western,,RCP0003,DEV0049,SUCCESS,,1532.05,1264.92,1379,15,2,3,89.7
TXN000078,2026-08-08 00:49:00,CUST0240,Consumer,Bank Transfer,174.09,GHS,KasaPay,USSD,Greater Accra,,RCP0165,DEV0059,SUCCESS,,978.47,804.38,939,4,0,1,62.7
TXN000079,2026-08-18 11:59:00,CUST0034,Consumer,Bill Payment,52.31,GHS,ApexMoney,USSD,Ashanti,,RCP0007,DEV0091,SUCCESS,,440.74,388.43,871,4,0,2,60.0
TXN000080,2026-08-21 18:20:00,CUST0181,Consumer,Bank Transfer,52.67,GHS,MobiLink,Mobile App,Greater Accra,,RCP0151,DEV0121,SUCCESS,,308.8,256.13,890,5,2,2,89.0
TXN000081,2026-08-30 03:35:00,CUST0089,Consumer,Bank Transfer,278.49,GHS,ApexMoney,Mobile App,Central,,RCP0098,DEV0208,SUCCESS,,499.4,220.91,1449,4,1,2,67.9
TXN000082,2026-08-14 13:14:00,CUST0065,Consumer,Merchant Payment,282.35,GHS,ApexMoney,Mobile App,Western,MER060,RCP0141,DEV0426,SUCCESS,,764.47,482.12,1802,3,0,2,54.8
TXN000083,2026-08-05 23:33:00,CUST0155,Consumer,Merchant Payment,16.52,GHS,KasaPay,POS,Western,MER076,RCP0145,DEV0293,SUCCESS,,912.74,896.22,1227,2,2,3,80.0
TXN000084,2026-08-26 19:30:00,CUST0125,Consumer,P2P Transfer,129.97,GHS,ApexMoney,POS,Bono,,RCP0153,DEV0173,SUCCESS,,786.28,656.31,1495,1,0,2,53.7
TXN000085,2026-08-20 12:32:00,CUST0191,Consumer,Cash-In,73.48,GHS,ApexMoney,POS,Central,MER009,RCP0225,DEV0096,SUCCESS,,449.94,523.42,917,4,0,1,57.3
TXN000086,2026-08-22 16:59:00,CUST0096,Consumer,Bill Payment,33.84,GHS,SwiftCash,Mobile App,Central,,RCP0223,DEV0292,REVERSED,Settlement Failure,889.04,889.04,1705,5,1,1,73.7
TXN000087,2026-08-04 00:20:00,CUST0247,Microbusiness,Merchant Payment,101.75,GHS,KasaPay,Mobile App,Ashanti,MER060,RCP0252,DEV0114,SUCCESS,,1268.58,1166.83,875,4,1,3,89.2
TXN000088,2026-08-10 16:24:00,None,Consumer,Cash-In,25.86,GHS,ApexMoney,USSD,Volta,MER001,RCP0159,DEV0440,FAILED,Recipient Unavailable,953.48,953.48,935,3,2,1,72.2
TXN000089,2026-08-24 19:16:00,CUST0259,Microbusiness,P2P Transfer,54.79,GHS,KasaPay,USSD,Eastern,,RCP0074,DEV0215,SUCCESS,,481.06,426.27,135,1,1,2,47.5
TXN000090,2026-08-26 19:12:00,CUST0009,Microbusiness,P2P Transfer,41.32,GHS,SwiftCash,Web,Northern,,RCP0051,DEV0248,SUCCESS,,263.65,222.33,586,4,0,3,87.8
TXN000091,2026-08-14 11:48:00,CUST0221,Consumer,P2P Transfer,53.26,GHS,ApexMoney,Web,Greater Accra,,RCP0220,DEV0407,SUCCESS,,259.0,205.74,1628,2,2,0,50.9
TXN000092,2026-08-25 22:44:00,CUST0104,Microbusiness,P2P Transfer,76.65,GHS,ApexMoney,Web,Ashanti,,RCP0237,DEV0138,SUCCESS,,295.62,218.97,204,4,1,0,58.4
TXN000093,2026-08-27 02:13:00,CUST0116,SME,Bill Payment,34.36,GHS,KasaPay,Web,Central,,RCP0010,DEV0213,SUCCESS,,597.53,563.17,504,2,0,0,34.3
TXN000094,2026-08-13 00:17:00,CUST0006,Consumer,Merchant Payment,310.2,GHS,KasaPay,API,Greater Accra,MER054,RCP0056,DEV0240,SUCCESS,,727.67,417.47,1711,5,1,0,67.1
TXN000095,2026-08-28 20:10:00,CUST0211,Consumer,Bank Transfer,123.88,GHS,MobiLink,USSD,Greater Accra,,RCP0176,DEV0122,SUCCESS,,170.56,46.68,1922,5,1,2,92.2
TXN000096,2026-08-09 22:30:00,CUST0050,Consumer,Cash-Out,374.42,GHS,KasaPay,Mobile App,Bono,MER023,RCP0043,DEV0025,FAILED,Service Unavailable,337.65,337.65,922,2,1,2,55.5
TXN000097,2026-08-08 10:13:00,CUST0198,Consumer,P2P Transfer,71.09,GHS,ApexMoney,Mobile App,Ashanti,,RCP0013,DEV0128,SUCCESS,,591.38,520.29,904,2,0,1,44.7
TXN000098,2026-08-22 03:46:00,CUST0218,Consumer,P2P Transfer,51.09,GHS,KasaPay,Mobile App,Greater Accra,,RCP0259,DEV0051,FAILED,Limit Exceeded,250.95,250.95,1127,5,1,0,66.0
TXN000099,2026-08-20 17:45:00,CUST0254,Microbusiness,Bank Transfer,363.09,GHS,SwiftCash,Mobile App,Greater Accra,,RCP0025,DEV0305,SUCCESS,,682.27,319.18,1697,1,1,2,56.9
TXN000100,2026-08-05 07:58:00,CUST0213,Microbusiness,P2P Transfer,49.83,GHS,ApexMoney,Mobile App,Ashanti,,RCP0056,DEV0004,SUCCESS,,391.28,341.45,1040,3,2,0,57.7
TXN000101,2026-08-26 19:33:00,CUST0091,Microbusiness,Bank Transfer,70.0,GHS,KasaPay,API,Eastern,,RCP0257,DEV0143,SUCCESS,,286.41,216.41,393,1,2,2,58.9
TXN000102,2026-08-07 04:43:00,CUST0222,Microbusiness,P2P Transfer,150.21,GHS,ApexMoney,Mobile App,Volta,,RCP0026,DEV0398,SUCCESS,,512.81,362.6,957,3,2,3,90.4
TXN000103,2026-08-25 22:50:00,CUST0248,Consumer,Cash-Out,28.44,GHS,MobiLink,API,Bono,MER012,RCP0208,DEV0256,SUCCESS,,661.3,632.86,571,1,1,1,44.1
TXN000104,2026-08-01 05:28:00,CUST0096,Consumer,Bank Transfer,149.1,GHS,SwiftCash,POS,Eastern,,RCP0146,DEV0303,FAILED,Insufficient Funds,260.76,260.76,1509,1,1,1,37.1
TXN000105,2026-08-25 16:51:00,CUST0038,Consumer,P2P Transfer,133.73,GHS,KasaPay,USSD,Central,,RCP0140,DEV0301,SUCCESS,,410.77,277.04,326,3,1,2,75.1
TXN000106,2026-08-25 09:28:00,CUST0268,Consumer,P2P Transfer,239.59,GHS,MobiLink,POS,Greater Accra,,RCP0215,DEV0135,SUCCESS,,699.77,460.18,1345,1,0,0,27.4
TXN000107,2026-08-25 04:35:00,CUST0045,Microbusiness,Bill Payment,173.56,GHS,MobiLink,Mobile App,Northern,,RCP0006,DEV0285,REVERSED,Network Timeout,278.23,278.23,298,4,0,2,64.6
TXN000108,2026-08-21 14:38:00,CUST0179,Consumer,P2P Transfer,245.91,GHS,ApexMoney,USSD,Greater Accra,,RCP0016,DEV0100,FAILED,Insufficient Funds,142.12,142.12,2138,3,2,1,65.2
TXN000109,2026-08-15 14:50:00,CUST0071,Consumer,Merchant Payment,74.15,GHS,KasaPay,Mobile App,Greater Accra,MER061,RCP0051,DEV0286,SUCCESS,,155.64,81.49,1413,3,0,1,50.2
TXN000110,2026-08-22 20:38:00,CUST0038,Consumer,Merchant Payment,39.12,GHS,KasaPay,API,Bono,MER061,RCP0127,DEV0308,SUCCESS,,360.13,321.01,318,3,2,0,63.0
TXN000111,2026-08-09 14:10:00,CUST0233,Consumer,P2P Transfer,489.55,GHS,ApexMoney,Mobile App,Northern,,RCP0250,DEV0395,FAILED,Insufficient Funds,183.31,183.31,2110,5,2,3,92.4
TXN000112,2026-08-25 04:51:00,CUST0044,Consumer,Bank Transfer,22.25,GHS,KasaPay,Mobile App,Greater Accra,,RCP0018,DEV0414,SUCCESS,,379.63,357.38,1268,5,2,1,86.3
TXN000113,2026-08-18 05:24:00,CUST0202,Consumer,Bank Transfer,24.23,GHS,ApexMoney,POS,Central,,RCP0109,DEV0011,SUCCESS,,1717.64,1693.41,1340,1,0,0,26.9
TXN000114,2026-08-15 05:26:00,CUST0208,Consumer,Merchant Payment,131.68,GHS,MobiLink,POS,Ashanti,MER056,RCP0112,DEV0135,SUCCESS,,175.22,43.54,153,4,1,3,69.9
TXN000115,2026-08-16 16:10:00,CUST0019,Consumer,Bank Transfer,324.16,GHS,KasaPay,USSD,Greater Accra,,RCP0051,DEV0247,SUCCESS,,398.64,74.48,425,3,2,3,87.2
TXN000116,2026-08-18 15:08:00,CUST0052,Consumer,P2P Transfer,95.69,GHS,SwiftCash,USSD,Greater Accra,,RCP0090,DEV0145,SUCCESS,,2438.72,2343.03,1780,4,1,2,79.2
TXN000117,2026-08-02 03:43:00,CUST0239,SME,P2P Transfer,190.45,GHS,KasaPay,Mobile App,Greater Accra,,RCP0053,DEV0279,PENDING,Awaiting Confirmation,669.21,669.21,1036,4,1,0,60.5
TXN000118,2026-08-05 08:00:00,CUST0153,Consumer,Cash-In,14.93,GHS,ApexMoney,POS,Ashanti,MER030,RCP0036,DEV0385,SUCCESS,,373.98,388.91,1361,4,2,3,98.8
TXN000119,2026-08-08 14:38:00,CUST0099,Consumer,Bill Payment,53.27,GHS,MobiLink,Mobile App,Ashanti,,RCP0135,DEV0117,SUCCESS,,438.05,384.78,2171,11,2,0,89.2
TXN000120,2026-08-04 13:12:00,CUST0298,Consumer,P2P Transfer,16.56,GHS,ApexMoney,Mobile App,Ashanti,,RCP0242,DEV0403,SUCCESS,,679.95,663.39,951,2,0,0,24.8
TXN000121,2026-08-14 15:04:00,CUST0080,Consumer,P2P Transfer,158.12,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0105,DEV0397,SUCCESS,,1757.82,1599.7,847,5,0,2,62.2
TXN000121,2026-08-21 17:17:00,CUST0002,Consumer,Merchant Payment,21.86,GHS,KasaPay,Mobile App,Volta,MER072,RCP0165,DEV0412,SUCCESS,,330.91,309.05,1767,4,1,1,72.6
TXN000123,2026-08-21 06:53:00,CUST0278,Consumer,Bank Transfer,27.49,GHS,SwiftCash,Mobile App,Eastern,,RCP0174,DEV0034,SUCCESS,,279.16,251.67,159,2,1,0,45.2
TXN000124,2026-08-15 14:29:00,CUST0005,SME,P2P Transfer,126.08,GHS,KasaPay,USSD,Northern,,RCP0219,DEV0132,SUCCESS,,175.19,49.11,1009,2,2,2,76.0
TXN000125,2026-08-27 12:10:00,CUST0167,SME,Merchant Payment,200.85,GHS,ApexMoney,Mobile App,Greater Accra,MER026,RCP0214,DEV0056,SUCCESS,,532.36,331.51,1882,3,0,1,43.6
TXN000126,2026-08-18 12:32:00,CUST0298,Consumer,Cash-Out,71.16,GHS,ApexMoney,Mobile App,Eastern,MER003,RCP0235,DEV0055,SUCCESS,,171.7,100.54,512,2,0,3,62.8
TXN000127,2026-08-03 10:55:00,CUST0174,Consumer,Merchant Payment,132.24,GHS,ApexMoney,USSD,Western,MER014,RCP0211,DEV0024,SUCCESS,,347.99,215.75,679,4,2,0,58.0
TXN000128,2026-08-24 17:09:00,CUST0176,Consumer,P2P Transfer,128.65,GHS,ApexMoney,Mobile App,Greater Accra,,RCP0241,DEV0198,SUCCESS,,249.26,120.61,1047,3,1,3,70.8
